,Unnamed: 0,start,end,duration,round_epochs,loss,accuracy,val_loss,val_accuracy,batch_size,dropout,lr,optimizer,units
0,677,08/18/21-113754,08/18/21-113957,123.88704156875609,1,0.0017507405718788507,0.9997166395187378,0.051641810685396194,0.987600028514862,20,0.3,0.1,Adagrad_6,250
1,1835,08/19/21-044400,08/19/21-044504,64.76638746261597,1,0.005507046356797218,0.9987999796867372,0.04239704459905624,0.987600028514862,40,0.3,0.1,SGD_12,250
2,965,08/18/21-164424,08/18/21-164601,97.6693217754364,1,0.001914200489409268,0.9996333122253418,0.04953660070896149,0.9875000119209291,25,0.3,0.1,Adagrad_6,250
3,1834,08/19/21-044255,08/19/21-044359,64.4342896938324,1,0.007192057091742755,0.9980999827384948,0.04218119382858277,0.9873999953269958,40,0.3,0.1,SGD_11,250
4,1224,08/18/21-202035,08/18/21-202334,178.82679510116574,1,0.003342645475640893,0.9991000294685364,0.05250326544046402,0.9872999787330629,30,0.3,0.001,AdaBeliefOptimizer_1,250
5,1475,08/19/21-000822,08/19/21-000935,72.36152529716493,1,0.0033104196190834045,0.9992333054542542,0.04717475548386574,0.9872999787330629,35,0.2,0.1,SGD_12,250
6,1757,08/19/21-034902,08/19/21-035014,71.49336099624635,1,0.002429659478366375,0.9994500279426576,0.053292151540517814,0.9872000217437744,40,0.2,0.1,Adagrad_6,250
7,755,08/18/21-130712,08/18/21-130903,110.95125317573549,1,0.008656307123601438,0.9978166818618774,0.04393577203154564,0.9872000217437744,20,0.4,0.1,SGD_12,250
8,648,08/18/21-103458,08/18/21-103915,256.4415271282196,1,0.002765054581686855,0.9993666410446168,0.04870215430855751,0.9872000217437744,20,0.3,0.001,AdaBeliefOptimizer_1,250
9,1800,08/19/21-040244,08/19/21-040502,138.34246110916138,1,0.0048957611434161654,0.9986833333969116,0.05440760031342506,0.9872000217437744,40,0.3,0.001,AdaBeliefOptimizer_1,250
10,594,08/18/21-095828,08/18/21-100046,137.5996446609497,1,0.003804819891229272,0.9987000226974488,0.07513070851564407,0.9871000051498412,20,0.2,0.01,Adamax_7,250
11,971,08/18/21-164947,08/18/21-165113,85.97453784942627,1,0.003984844777733088,0.9990500211715698,0.04775495454668999,0.9871000051498412,25,0.3,0.1,SGD_12,250
12,1780,08/19/21-035806,08/19/21-035926,80.78077054023744,1,0.00263658887706697,0.9991000294685364,0.07994519919157027,0.9871000051498412,40,0.2,2.0,Adadelta_5,250
13,1186,08/18/21-200748,08/18/21-200904,76.59722900390625,1,0.004102506674826145,0.9988666772842408,0.04740607365965843,0.9869999885559082,30,0.2,0.1,SGD_11,250
14,317,08/18/21-034252,08/18/21-034518,145.89193606376645,1,0.0015753578627482054,0.9996833205223083,0.054351426661014564,0.9869999885559082,15,0.2,0.1,Adagrad_6,250
15,1547,08/19/21-010613,08/19/21-010725,72.64187216758728,1,0.004522634670138359,0.9987499713897704,0.04625792056322098,0.9869999885559082,35,0.3,0.1,SGD_12,250
16,1469,08/19/21-000359,08/19/21-000519,79.44249248504639,1,0.0011936670634895565,0.999833345413208,0.049279972910881036,0.9868999719619752,35,0.2,0.1,Adagrad_6,250
17,938,08/18/21-155905,08/18/21-160109,124.47821474075316,1,0.002658725483343005,0.9993666410446168,0.057435490190982826,0.9868999719619752,25,0.3,0.001,Adam_3,250
18,1768,08/19/21-035433,08/19/21-035554,81.12189340591429,1,0.0035195341333746906,0.9989833235740662,0.05938135460019112,0.9868999719619752,40,0.2,1.0,Adadelta_5,250
19,1546,08/19/21-010500,08/19/21-010613,73.05696964263916,1,0.004603133536875248,0.9989333152770996,0.04566570371389389,0.9868000149726868,35,0.3,0.1,SGD_11,250
20,1474,08/19/21-000709,08/19/21-000822,72.85317397117616,1,0.002479241928085685,0.9994333386421204,0.04855737835168839,0.9868000149726868,35,0.2,0.1,SGD_11,250
21,1259,08/18/21-211024,08/18/21-211140,76.73342418670654,1,0.006511551328003407,0.9983166456222534,0.04752737283706665,0.9868000149726868,30,0.3,0.1,SGD_12,250
22,976,08/18/21-165148,08/18/21-165342,113.90828585624695,1,0.008302033878862858,0.9974666833877563,0.0649087056517601,0.9868000149726868,25,0.3,1.0,Adadelta_5,250
23,1187,08/18/21-200905,08/18/21-201021,76.37030148506166,1,0.0032030853908509016,0.9992666840553284,0.05258201807737351,0.9868000149726868,30,0.2,0.1,SGD_12,250
24,605,08/18/21-101425,08/18/21-101629,123.39631295204164,1,0.0008416225318796933,0.9998666644096376,0.060600828379392624,0.9866999983787536,20,0.2,0.1,Adagrad_6,250
25,1613,08/19/21-015918,08/19/21-020038,79.50196576118468,1,0.0043584383092820644,0.9991000294685364,0.04478094354271889,0.9866999983787536,35,0.4,0.1,Adagrad_6,250
26,1204,08/18/21-201511,08/18/21-201651,99.26785087585449,1,0.003596741473302245,0.9988999962806702,0.08614125847816467,0.9866999983787536,30,0.2,2.0,Adadelta_5,250
27,1010,08/18/21-170813,08/18/21-171018,124.71167397499084,1,0.005162740591913462,0.9986666440963744,0.05018645152449608,0.9866999983787536,25,0.4,0.001,Adam_3,250
28,1152,08/18/21-191802,08/18/21-192100,177.6079382896423,1,0.0017768801189959051,0.9995666742324828,0.05856480821967125,0.9866999983787536,30,0.2,0.001,AdaBeliefOptimizer_1,250
29,1907,08/19/21-053432,08/19/21-053538,65.49423122406006,1,0.01171282771974802,0.9965999722480774,0.04530872032046318,0.9866999983787536,40,0.4,0.1,SGD_12,250
