,Unnamed: 0,start,end,duration,round_epochs,loss,accuracy,val_loss,val_accuracy,batch_size,lr,optimizer,units
0,262,08/16/21-231558,08/16/21-231723,85.0221014022827,1,0.000615219643805176,1.0,0.06491480022668839,0.9851999878883362,25,1.0,SGD_11,250
1,136,08/16/21-204747,08/16/21-205037,169.70998787879944,1,0.00016471414710395038,0.9999666810035706,0.09671096503734587,0.9850999712944032,15,5.0,Adadelta_5,250
2,329,08/17/21-001723,08/17/21-001847,84.3226761817932,1,0.0002973478694912046,1.0,0.07271460443735123,0.9850999712944032,30,1.0,Adagrad_6,250
3,335,08/17/21-002034,08/17/21-002148,73.67419004440308,1,0.00044852652354165906,1.0,0.06990516185760498,0.9848999977111816,30,1.0,SGD_12,250
4,306,08/17/21-000018,08/17/21-000151,93.08594012260436,1,7.395246939267963e-05,0.9999833106994628,0.10203994065523148,0.9846000075340272,30,0.01,Adamax_7,250
5,352,08/17/21-002856,08/17/21-003032,96.80786204338074,1,2.4008606487768706e-05,1.0,0.09092842042446136,0.9846000075340272,30,5.0,Adadelta_5,250
6,347,08/17/21-002708,08/17/21-002823,74.69219851493834,1,0.00019610628078226,1.0,0.07138807326555252,0.9846000075340272,30,2.0,SGD_12,250
7,203,08/16/21-221156,08/16/21-221346,109.91788816452026,1,0.00016764701285865158,0.9999833106994628,0.08156664669513702,0.9844999909400941,20,2.0,SGD_12,250
8,119,08/16/21-203355,08/16/21-203601,126.50907945632936,1,0.00017287427908740938,1.0,0.07821650058031082,0.9844999909400941,15,1.0,SGD_12,250
9,146,08/16/21-210200,08/16/21-210428,148.0642788410187,1,0.0008132039220072329,1.0,0.06304233521223067,0.9843999743461608,20,0.001,Adam_3,250
10,280,08/16/21-232657,08/16/21-232848,111.31017303466795,1,1.4735781405761374e-05,1.0,0.10284151881933212,0.9843999743461608,25,5.0,Adadelta_5,250
11,47,08/16/21-184427,08/16/21-184729,181.9602882862091,1,0.00011601105506997555,1.0,0.08269596844911575,0.9843000173568726,10,1.0,SGD_12,250
