,Unnamed: 0,start,end,duration,round_epochs,loss,accuracy,val_loss,val_accuracy,batch_size,lr,optimizer,units
0,52,08/19/21-115405,08/19/21-120251,526.0405321121217,1,0.004412132315337658,0.9988999962806702,0.015882624313235283,0.9948999881744384,500,2.0,Adadelta_5,250
1,8,08/19/21-090031,08/19/21-090920,529.1471741199493,1,0.0058604353107512,0.9982833266258241,0.017705803737044334,0.994700014591217,500,0.001,RMSprop_9,250
2,40,08/19/21-114031,08/19/21-114919,528.4307456016539,1,0.008316634222865105,0.9978833198547364,0.017634101212024692,0.994700014591217,500,1.0,Adadelta_5,250
3,9,08/19/21-090920,08/19/21-091807,526.6147999763489,1,0.0048057944513857365,0.9986500144004822,0.018569065257906917,0.9944000244140624,500,0.001,RMSprop_10,250
4,2,08/19/21-082411,08/19/21-083303,532.4873175621034,1,0.003934509586542846,0.9988999962806702,0.0180123932659626,0.9944000244140624,500,0.001,Adam_3,250
5,64,08/19/21-120736,08/19/21-121619,523.4958918094635,1,0.0024461750872433186,0.9994000196456908,0.018386546522378918,0.9944000244140624,500,5.0,Adadelta_5,250
6,18,08/19/21-100321,08/19/21-101200,518.9790244102478,1,0.004462894052267075,0.9989833235740662,0.01858518458902836,0.9941999912261964,500,0.01,Adamax_7,250
7,3,08/19/21-083303,08/19/21-084152,529.1314363479613,1,0.003774736542254687,0.9991000294685364,0.018410686403512955,0.9940999746322632,500,0.001,Adam_4,250
8,12,08/19/21-091900,08/19/21-092752,531.4165275096893,1,0.011762777343392372,0.9962499737739564,0.021049832925200462,0.9940000176429749,500,0.01,AdaBeliefOptimizer_1,250
9,1,08/19/21-081500,08/19/21-082410,550.0779690742494,1,0.005724393296986818,0.9983833432197572,0.018052559345960617,0.9939000010490416,500,0.001,AdaBeliefOptimizer_2,250
10,0,08/19/21-080535,08/19/21-081500,565.0380954742433,1,0.005292567424476147,0.9986166954040528,0.01883188635110855,0.9939000010490416,500,0.001,AdaBeliefOptimizer_1,250
11,7,08/19/21-085132,08/19/21-090031,539.4356160163878,1,0.006071283482015133,0.99836665391922,0.01912710815668106,0.9937999844551086,500,0.001,Nadam_8,250
12,13,08/19/21-092752,08/19/21-093645,533.2103860378265,1,0.01145285926759243,0.9962666630744934,0.019540896639227867,0.9937999844551086,500,0.01,AdaBeliefOptimizer_2,250
13,29,08/19/21-110245,08/19/21-111130,524.6619422435759,1,0.009008974768221378,0.9975000023841858,0.017668429762125015,0.9937000274658204,500,0.1,Adagrad_6,250
14,6,08/19/21-084247,08/19/21-085131,524.8058233261108,1,0.011482338421046734,0.9967666864395142,0.020418407395482063,0.993499994277954,500,0.001,Adamax_7,250
15,20,08/19/21-102047,08/19/21-102929,521.3108861446382,1,0.011502906680107115,0.9966333508491516,0.021526657044887543,0.993499994277954,500,0.01,RMSprop_9,250
16,14,08/19/21-093645,08/19/21-094524,519.1575675010681,1,0.007902274839580059,0.9980000257492064,0.02073206566274166,0.9929999709129332,500,0.01,Adam_3,250
17,19,08/19/21-101200,08/19/21-102047,527.4598670005798,1,0.007377227302640675,0.9976333379745485,0.02715764194726944,0.992900013923645,500,0.01,Nadam_8,250
18,15,08/19/21-094525,08/19/21-095406,521.1694490909576,1,0.010104381479322909,0.9972333312034608,0.024466268718242645,0.9926000237464904,500,0.01,Adam_4,250
19,21,08/19/21-102929,08/19/21-103806,516.8608977794647,1,0.01276132371276617,0.9963333606719972,0.0281980037689209,0.9923999905586244,500,0.01,RMSprop_10,250
20,34,08/19/21-112117,08/19/21-112959,521.8048219680786,1,0.0266666691750288,0.9919333457946776,0.028095198795199398,0.9908999800682068,500,0.1,SGD_11,250
21,35,08/19/21-112959,08/19/21-113846,526.4805381298065,1,0.02607787400484085,0.992383360862732,0.02774955704808235,0.9904000163078308,500,0.1,SGD_12,250
22,28,08/19/21-105357,08/19/21-110245,528.3591368198395,1,0.04322682321071625,0.9871333241462708,0.039284512400627136,0.9872000217437744,500,0.1,Adadelta_5,250
23,17,08/19/21-095433,08/19/21-100321,527.3764975070953,1,0.058012180030345924,0.982366681098938,0.05215894058346749,0.982699990272522,500,0.01,Adagrad_6,250
24,25,08/19/21-105002,08/19/21-105305,182.78981375694275,1,0.0619051530957222,0.981333315372467,0.05762818083167076,0.981599986553192,500,0.1,AdaBeliefOptimizer_2,250
25,24,08/19/21-104717,08/19/21-105002,165.15148806571958,1,0.05910611525177956,0.9811166524887084,0.06157319992780685,0.9789000153541564,500,0.1,AdaBeliefOptimizer_1,250
26,22,08/19/21-103806,08/19/21-104650,524.7663204669951,1,0.11625614762306212,0.9650499820709229,0.1078975945711136,0.9667999744415284,500,0.01,SGD_11,250
27,30,08/19/21-111130,08/19/21-111959,508.7162482738495,1,0.1907736212015152,0.9532333612442015,0.19362853467464447,0.9523000121116638,500,0.1,Adamax_7,250
28,23,08/19/21-104651,08/19/21-104716,25.888625860214233,1,2.1894898414611816,0.3816833198070526,2.188119411468506,0.3826999962329865,500,0.01,SGD_12,250
29,16,08/19/21-095406,08/19/21-095433,27.17175793647766,1,2.247687816619873,0.2429166734218597,2.2483506202697754,0.2469000071287155,500,0.01,Adadelta_5,250
30,5,08/19/21-084220,08/19/21-084247,26.310328483581547,1,2.246216058731079,0.17801666259765625,2.2454535961151123,0.1816000044345856,500,0.001,Adagrad_6,250
31,4,08/19/21-084153,08/19/21-084220,27.329105615615845,1,2.287680149078369,0.12290000170469285,2.2863008975982666,0.12479999661445618,500,0.001,Adadelta_5,250
